Time resolution is 1 ps
Time =                    0, clk = 0, sw = 0, data = 0000
Time =                 1000, clk = 1, sw = 0, data = 0000
Time =                 1000, clk = 0, sw = 0, data = 0000
Time =                 2000, clk = 1, sw = 0, data = 0000
Time =                 2000, clk = 0, sw = 0, data = 0000
Time =                 3000, clk = 1, sw = 0, data = 0000
Time =                 4000, clk = 0, sw = 0, data = 0000
Time =                 4000, clk = 1, sw = 0, data = 0000
Time =                 5000, clk = 0, sw = 0, data = 0000
Time =                 5000, clk = 1, sw = 0, data = 0000
Time =                 6000, clk = 0, sw = 1, data = 0000
Time =                 6000, clk = 1, sw = 1, data = 0000
Time =                 7000, clk = 0, sw = 1, data = 0000
Time =                 8000, clk = 1, sw = 1, data = 0000
Time =                 8000, clk = 0, sw = 1, data = 0000
Time =                 9000, clk = 1, sw = 1, data = 0000
Time =                 9000, clk = 0, sw = 1, data = 0000
Time =                10000, clk = 1, sw = 1, data = 0000
Time =                11000, clk = 0, sw = 1, data = 0000
Time =                11000, clk = 1, sw = 1, data = 0000
Time =                12000, clk = 0, sw = 1, data = 0000
Time =                12000, clk = 1, sw = 1, data = 1000
Time =                13000, clk = 0, sw = 1, data = 1000
Time =                14000, clk = 1, sw = 1, data = 1000
Time =                14000, clk = 0, sw = 1, data = 1000
Time =                15000, clk = 1, sw = 1, data = 1000
Time =                15000, clk = 0, sw = 1, data = 1000
Time =                16000, clk = 1, sw = 1, data = 1000
Time =                16000, clk = 0, sw = 1, data = 1000
Time =                17000, clk = 1, sw = 1, data = 1000
Time =                18000, clk = 0, sw = 1, data = 1000
Time =                18000, clk = 1, sw = 1, data = 1000
Time =                19000, clk = 0, sw = 1, data = 1000
Time =                19000, clk = 1, sw = 1, data = 1000
Time =                20000, clk = 0, sw = 1, data = 1000
Time =                21000, clk = 1, sw = 1, data = 1000
Time =                21000, clk = 0, sw = 1, data = 1000
Time =                22000, clk = 1, sw = 1, data = 1000
Time =                22000, clk = 0, sw = 1, data = 1000
Time =                23000, clk = 1, sw = 1, data = 1000
Time =                23000, clk = 0, sw = 1, data = 1000
Time =                24000, clk = 1, sw = 1, data = 1000
Time =                25000, clk = 0, sw = 1, data = 1000
Time =                25000, clk = 1, sw = 1, data = 1000
Time =                26000, clk = 0, sw = 1, data = 1000
Time =                26000, clk = 1, sw = 1, data = 1000
Time =                27000, clk = 0, sw = 1, data = 1000
Time =                28000, clk = 1, sw = 1, data = 1000
Time =                28000, clk = 0, sw = 1, data = 1000
Time =                29000, clk = 1, sw = 1, data = 1000
Time =                29000, clk = 0, sw = 1, data = 1000
Time =                30000, clk = 1, sw = 1, data = 1000
Time =                31000, clk = 0, sw = 1, data = 1000
Time =                31000, clk = 1, sw = 1, data = 1000
Time =                32000, clk = 0, sw = 1, data = 1000
Time =                32000, clk = 1, sw = 1, data = 1000
Time =                33000, clk = 0, sw = 1, data = 1000
Time =                33000, clk = 1, sw = 1, data = 1000
Time =                34000, clk = 0, sw = 1, data = 1000
Time =                35000, clk = 1, sw = 1, data = 1000
Time =                35000, clk = 0, sw = 1, data = 1000
Time =                36000, clk = 1, sw = 1, data = 1000
Time =                36000, clk = 0, sw = 1, data = 1000
Time =                37000, clk = 1, sw = 1, data = 1000
Time =                38000, clk = 0, sw = 1, data = 1000
Time =                38000, clk = 1, sw = 1, data = 0100
Time =                39000, clk = 0, sw = 1, data = 0100
Time =                39000, clk = 1, sw = 1, data = 0100
Time =                40000, clk = 0, sw = 1, data = 0100
Time =                41000, clk = 1, sw = 1, data = 0100
Time =                41000, clk = 0, sw = 1, data = 0100
Time =                42000, clk = 1, sw = 1, data = 0100
Time =                42000, clk = 0, sw = 1, data = 0100
Time =                43000, clk = 1, sw = 1, data = 0100
Time =                43000, clk = 0, sw = 1, data = 0100
Time =                44000, clk = 1, sw = 1, data = 0100
Time =                45000, clk = 0, sw = 1, data = 0100
Time =                45000, clk = 1, sw = 1, data = 0100
Time =                46000, clk = 0, sw = 1, data = 0100
Time =                46000, clk = 1, sw = 1, data = 0100
Time =                47000, clk = 0, sw = 1, data = 0100
Time =                48000, clk = 1, sw = 1, data = 0100
Time =                48000, clk = 0, sw = 1, data = 0100
Time =                49000, clk = 1, sw = 1, data = 0100
Time =                49000, clk = 0, sw = 1, data = 0100
Time =                50000, clk = 1, sw = 1, data = 0100
Time =                50000, clk = 0, sw = 1, data = 0100
Time =                51000, clk = 1, sw = 1, data = 0100
Time =                52000, clk = 0, sw = 1, data = 0100
Time =                52000, clk = 1, sw = 1, data = 0100
Time =                53000, clk = 0, sw = 1, data = 0100
Time =                53000, clk = 1, sw = 1, data = 0100
Time =                54000, clk = 0, sw = 1, data = 0100
Time =                55000, clk = 1, sw = 1, data = 0100
Time =                55000, clk = 0, sw = 1, data = 0100
Time =                56000, clk = 1, sw = 1, data = 0100
Time =                56000, clk = 0, sw = 1, data = 0100
Time =                57000, clk = 1, sw = 1, data = 0100
Time =                58000, clk = 0, sw = 1, data = 0100
